file_path,file_class,file_name,D1
database_normalized\AircraftBuoyant\m1337.obj,AircraftBuoyant,m1337.obj,"[0.105183 0.060725 0.045797 0.044504 0.03686  0.082094 0.02497  0.049224
 0.066645 0.10582  0.064768 0.201802 0.062038 0.       0.024889 0.
 0.       0.       0.       0.024681]"
database_normalized\AircraftBuoyant\m1338.obj,AircraftBuoyant,m1338.obj,"[0.024215 0.02815  0.045067 0.088621 0.169265 0.217791 0.221802 0.138377
 0.004406 0.030941 0.004867 0.002093 0.005255 0.000894 0.005258 0.001368
 0.003655 0.002323 0.       0.005652]"
database_normalized\AircraftBuoyant\m1339.obj,AircraftBuoyant,m1339.obj,"[0.011625 0.00235  0.01841  0.014874 0.089355 0.049541 0.02411  0.090413
 0.061194 0.079458 0.077263 0.061392 0.060099 0.05588  0.056836 0.041596
 0.037108 0.037066 0.036728 0.094702]"
database_normalized\AircraftBuoyant\m1340.obj,AircraftBuoyant,m1340.obj,"[0.108378 0.067659 0.024851 0.035882 0.046193 0.043401 0.05768  0.05467
 0.067493 0.061859 0.070552 0.073324 0.044435 0.070706 0.053263 0.050247
 0.038734 0.       0.       0.030673]"
database_normalized\AircraftBuoyant\m1341.obj,AircraftBuoyant,m1341.obj,"[0.017126 0.036596 0.084884 0.065405 0.067773 0.087031 0.091123 0.066404
 0.061567 0.066609 0.063796 0.071717 0.041823 0.014745 0.014617 0.014979
 0.029321 0.02926  0.029676 0.045548]"
database_normalized\AircraftBuoyant\m1342.obj,AircraftBuoyant,m1342.obj,"[0.049735 0.120155 0.056652 0.041806 0.027986 0.044871 0.257484 0.104714
 0.035942 0.025397 0.017878 0.016443 0.027417 0.015682 0.029054 0.021356
 0.026251 0.024155 0.028925 0.028097]"
database_normalized\AircraftBuoyant\m1343.obj,AircraftBuoyant,m1343.obj,"[0.004012 0.004109 0.005376 0.00791  0.009362 0.006669 0.014875 0.010712
 0.045676 0.186322 0.147556 0.097824 0.083408 0.048085 0.065727 0.10257
 0.080286 0.051315 0.0014   0.026806]"
database_normalized\AircraftBuoyant\m1344.obj,AircraftBuoyant,m1344.obj,"[0.062713 0.020458 0.024471 0.0178   0.047121 0.019308 0.180516 0.100044
 0.127694 0.031953 0.038439 0.045018 0.01671  0.029506 0.024512 0.021666
 0.030684 0.016795 0.060085 0.084507]"
database_normalized\AircraftBuoyant\m1345.obj,AircraftBuoyant,m1345.obj,"[0.094736 0.126221 0.060993 0.008404 0.181832 0.015961 0.035522 0.010464
 0.095008 0.018234 0.026708 0.037597 0.042622 0.030448 0.041862 0.112325
 0.020641 0.00155  0.008328 0.030544]"
database_normalized\AircraftBuoyant\m1346.obj,AircraftBuoyant,m1346.obj,"[0.120991 0.116456 0.082826 0.077683 0.045612 0.051701 0.044626 0.04543
 0.047596 0.050313 0.049257 0.049038 0.047388 0.043002 0.044146 0.028877
 0.024002 0.016854 0.009525 0.004677]"
