file_path,file_class,file_name,D3
database_normalized\AircraftBuoyant\m1337.obj,AircraftBuoyant,m1337.obj,"[0.000358 0.002421 0.006891 0.014758 0.025503 0.034154 0.044113 0.055804
 0.066333 0.077037 0.087659 0.096134 0.101744 0.103003 0.099071 0.086934
 0.060153 0.026124 0.009743 0.002063]"
database_normalized\AircraftBuoyant\m1338.obj,AircraftBuoyant,m1338.obj,"[0.00045  0.003095 0.007935 0.015338 0.023981 0.034056 0.045712 0.057606
 0.06957  0.080606 0.091171 0.099154 0.106369 0.106781 0.103275 0.086786
 0.050426 0.0144   0.002813 0.000476]"
database_normalized\AircraftBuoyant\m1339.obj,AircraftBuoyant,m1339.obj,"[0.00086  0.008475 0.025292 0.04674  0.066773 0.077567 0.076056 0.080612
 0.085523 0.088011 0.086432 0.084769 0.076529 0.061789 0.052255 0.036419
 0.025209 0.014312 0.005434 0.000943]"
database_normalized\AircraftBuoyant\m1340.obj,AircraftBuoyant,m1340.obj,"[0.000807 0.007129 0.020803 0.035087 0.048859 0.068621 0.087414 0.104133
 0.119258 0.116717 0.090907 0.068356 0.0523   0.045566 0.040468 0.035961
 0.031298 0.019586 0.005592 0.001138]"
database_normalized\AircraftBuoyant\m1341.obj,AircraftBuoyant,m1341.obj,"[0.000566 0.005737 0.018835 0.037973 0.057253 0.079065 0.098156 0.110383
 0.117736 0.115046 0.100537 0.071896 0.047779 0.034553 0.025192 0.022824
 0.022032 0.018784 0.011907 0.003746]"
database_normalized\AircraftBuoyant\m1342.obj,AircraftBuoyant,m1342.obj,"[0.023549 0.052325 0.068394 0.081745 0.085141 0.083654 0.077866 0.07046
 0.06347  0.058021 0.055822 0.054446 0.052866 0.049242 0.041647 0.031789
 0.023741 0.01591  0.008858 0.001054]"
database_normalized\AircraftBuoyant\m1343.obj,AircraftBuoyant,m1343.obj,"[0.000258 0.002655 0.009361 0.021344 0.037724 0.054866 0.070775 0.085294
 0.095543 0.102683 0.106177 0.105198 0.098615 0.086112 0.066621 0.0351
 0.011136 0.006441 0.00312  0.000977]"
database_normalized\AircraftBuoyant\m1344.obj,AircraftBuoyant,m1344.obj,"[0.032568 0.079208 0.052963 0.075344 0.089647 0.097964 0.06315  0.040211
 0.042911 0.048301 0.053767 0.056891 0.057975 0.055153 0.046243 0.036778
 0.030951 0.024558 0.013274 0.002143]"
database_normalized\AircraftBuoyant\m1345.obj,AircraftBuoyant,m1345.obj,"[0.003987 0.014248 0.032756 0.054511 0.071429 0.085117 0.095963 0.10304
 0.106247 0.10001  0.088992 0.078969 0.061454 0.042589 0.028978 0.016263
 0.007821 0.00444  0.002624 0.000562]"
database_normalized\AircraftBuoyant\m1346.obj,AircraftBuoyant,m1346.obj,"[6.78000e-04 5.73700e-03 1.79160e-02 3.50630e-02 5.32160e-02 7.31640e-02
 9.17540e-02 1.07624e-01 1.15039e-01 1.16226e-01 1.10141e-01 9.81410e-02
 7.95750e-02 5.57700e-02 2.75060e-02 8.78800e-03 2.80200e-03 6.63000e-04
 1.56000e-04 4.10000e-05]"
database_normalized\AircraftBuoyant\m1347.obj,AircraftBuoyant,m1347.obj,"[0.02205  0.068767 0.073665 0.077389 0.077661 0.084658 0.097254 0.097118
 0.079086 0.062104 0.056313 0.049065 0.04232  0.036427 0.030231 0.023137
 0.014714 0.006462 0.001379 0.0002  ]"
database_normalized\AircraftBuoyant\m1348.obj,AircraftBuoyant,m1348.obj,"[6.71000e-04 5.46100e-03 1.75390e-02 3.43250e-02 5.19800e-02 7.08260e-02
 8.94200e-02 1.04967e-01 1.14212e-01 1.14258e-01 1.09564e-01 9.82330e-02
 8.20120e-02 5.94360e-02 3.20410e-02 1.05390e-02 3.43100e-03 7.99000e-04
 2.35000e-04 5.10000e-05]"
database_normalized\AircraftBuoyant\m1349.obj,AircraftBuoyant,m1349.obj,"[2.04800e-03 1.18830e-02 2.96430e-02 5.04010e-02 7.17650e-02 9.30440e-02
 1.13301e-01 1.22974e-01 1.21151e-01 1.08162e-01 9.25140e-02 7.35520e-02
 4.94760e-02 2.70740e-02 1.71310e-02 9.85900e-03 4.26000e-03 1.38100e-03
 3.34000e-04 4.70000e-05]"
database_normalized\AircraftBuoyant\m1350.obj,AircraftBuoyant,m1350.obj,"[0.001327 0.007784 0.018533 0.033588 0.045326 0.059537 0.074099 0.090106
 0.103761 0.110683 0.103954 0.093714 0.079438 0.064645 0.047199 0.032007
 0.02027  0.010633 0.003053 0.000343]"
database_normalized\AircraftBuoyant\m1351.obj,AircraftBuoyant,m1351.obj,"[0.01556  0.055845 0.076711 0.093998 0.10714  0.118057 0.125799 0.071709
 0.032071 0.026707 0.028983 0.034835 0.040673 0.049324 0.044793 0.034707
 0.021538 0.011588 0.007205 0.002757]"
database_normalized\AircraftBuoyant\m1352.obj,AircraftBuoyant,m1352.obj,"[3.61000e-04 3.55700e-03 1.06900e-02 2.05880e-02 3.46700e-02 4.95700e-02
 6.35460e-02 8.00400e-02 9.32820e-02 1.05855e-01 1.10127e-01 1.07694e-01
 9.84090e-02 8.49150e-02 6.59060e-02 4.36750e-02 2.07500e-02 5.74500e-03
 5.55000e-04 6.50000e-05]"
database_normalized\Apartment\D00045.obj,Apartment,D00045.obj,"[3.76900e-03 1.94220e-02 4.32740e-02 6.62120e-02 8.77910e-02 1.08001e-01
 1.22900e-01 1.35818e-01 1.40104e-01 1.27048e-01 9.68450e-02 4.08980e-02
 6.84500e-03 6.28000e-04 2.65000e-04 1.47000e-04 3.00000e-05 0.00000e+00
 0.00000e+00 3.00000e-06]"
database_normalized\Apartment\D00086.obj,Apartment,D00086.obj,"[6.42700e-03 2.78060e-02 5.78290e-02 8.12520e-02 1.00912e-01 1.12516e-01
 1.17521e-01 1.11433e-01 9.74090e-02 8.03320e-02 6.22020e-02 4.94880e-02
 3.93890e-02 2.72730e-02 1.65320e-02 8.09500e-03 2.92500e-03 4.91000e-04
 1.50000e-04 1.80000e-05]"
database_normalized\Apartment\D00138.obj,Apartment,D00138.obj,"[8.01100e-02 2.24495e-01 2.39631e-01 1.33333e-01 1.10304e-01 9.90610e-02
 3.82960e-02 2.81250e-02 2.07710e-02 9.95800e-03 6.02600e-03 3.93800e-03
 2.43600e-03 1.55700e-03 8.48000e-04 5.41000e-04 3.76000e-04 8.60000e-05
 5.10000e-05 5.70000e-05]"
