file_path,file_class,file_name,D2
database_normalized\AircraftBuoyant\m1337.obj,AircraftBuoyant,m1337.obj,"[0.002532 0.010854 0.017041 0.024398 0.029644 0.038201 0.045767 0.049366
 0.055101 0.061755 0.067007 0.074136 0.078974 0.086179 0.091185 0.096708
 0.10001  0.048601 0.016116 0.006425]"
database_normalized\AircraftBuoyant\m1338.obj,AircraftBuoyant,m1338.obj,"[0.003207 0.009601 0.01732  0.023555 0.030471 0.037678 0.044161 0.051832
 0.058    0.065569 0.071436 0.078746 0.084175 0.091822 0.09436  0.098891
 0.094137 0.037603 0.005374 0.002062]"
database_normalized\AircraftBuoyant\m1339.obj,AircraftBuoyant,m1339.obj,"[0.008678 0.031364 0.056207 0.080136 0.093976 0.061559 0.053948 0.054571
 0.057699 0.062828 0.066432 0.07247  0.071464 0.049791 0.04352  0.04477
 0.039394 0.028776 0.015504 0.006913]"
database_normalized\AircraftBuoyant\m1340.obj,AircraftBuoyant,m1340.obj,"[0.018191 0.049913 0.082293 0.078184 0.085568 0.102844 0.123285 0.051713
 0.03871  0.031444 0.031812 0.0392   0.043595 0.047388 0.049759 0.05159
 0.041655 0.020919 0.007098 0.004839]"
database_normalized\AircraftBuoyant\m1341.obj,AircraftBuoyant,m1341.obj,"[0.014673 0.045933 0.073207 0.086905 0.099864 0.117709 0.12977  0.090721
 0.046305 0.038472 0.03586  0.034214 0.032211 0.028902 0.02768  0.028624
 0.026317 0.021388 0.014994 0.006251]"
database_normalized\AircraftBuoyant\m1342.obj,AircraftBuoyant,m1342.obj,"[0.069461 0.074552 0.060028 0.055917 0.049991 0.050089 0.052532 0.055372
 0.060469 0.06329  0.066122 0.065338 0.058201 0.044476 0.040734 0.038297
 0.03334  0.027099 0.029328 0.005364]"
database_normalized\AircraftBuoyant\m1343.obj,AircraftBuoyant,m1343.obj,"[0.003233 0.016106 0.028934 0.041664 0.054935 0.066714 0.078036 0.086549
 0.095937 0.100414 0.102386 0.096299 0.092658 0.085563 0.01901  0.009566
 0.007664 0.006631 0.004647 0.003054]"
database_normalized\AircraftBuoyant\m1344.obj,AircraftBuoyant,m1344.obj,"[0.071413 0.111376 0.031795 0.020587 0.027752 0.034408 0.040575 0.047193
 0.052025 0.058433 0.063861 0.065772 0.07087  0.060425 0.044459 0.043939
 0.049583 0.061922 0.034747 0.008865]"
database_normalized\AircraftBuoyant\m1345.obj,AircraftBuoyant,m1345.obj,"[0.010561 0.036908 0.057024 0.072451 0.067693 0.06503  0.078404 0.080839
 0.081733 0.089022 0.094413 0.081756 0.062661 0.048148 0.024151 0.016526
 0.009212 0.007832 0.008717 0.006919]"
database_normalized\AircraftBuoyant\m1346.obj,AircraftBuoyant,m1346.obj,"[0.01155  0.040795 0.068921 0.101317 0.131898 0.116938 0.096861 0.084159
 0.073081 0.060924 0.05128  0.041129 0.032764 0.027245 0.022495 0.017185
 0.011815 0.006701 0.002512 0.00043 ]"
database_normalized\AircraftBuoyant\m1347.obj,AircraftBuoyant,m1347.obj,"[0.068815 0.098636 0.11419  0.061267 0.050635 0.060089 0.072589 0.095207
 0.087062 0.07939  0.077865 0.048901 0.029455 0.018948 0.010764 0.008625
 0.007253 0.005196 0.003533 0.00158 ]"
database_normalized\AircraftBuoyant\m1348.obj,AircraftBuoyant,m1348.obj,"[0.010994 0.039263 0.06635  0.099157 0.12755  0.118575 0.097149 0.083737
 0.0724   0.06139  0.052146 0.042708 0.034283 0.028916 0.023026 0.017899
 0.012684 0.007697 0.003357 0.000719]"
database_normalized\AircraftBuoyant\m1349.obj,AircraftBuoyant,m1349.obj,"[0.017488 0.050446 0.08129  0.096573 0.114702 0.106629 0.106801 0.087502
 0.07648  0.068769 0.059187 0.037698 0.026985 0.019944 0.015859 0.012605
 0.009141 0.006539 0.003569 0.001793]"
database_normalized\AircraftBuoyant\m1350.obj,AircraftBuoyant,m1350.obj,"[0.018214 0.042161 0.065853 0.094166 0.11691  0.137779 0.113141 0.080755
 0.061642 0.053739 0.047109 0.04184  0.039504 0.030406 0.019217 0.014514
 0.010278 0.007392 0.00426  0.00112 ]"
database_normalized\AircraftBuoyant\m1351.obj,AircraftBuoyant,m1351.obj,"[0.073268 0.139824 0.238444 0.203603 0.069472 0.015717 0.013875 0.006424
 0.005912 0.012013 0.011323 0.010326 0.017732 0.0171   0.027478 0.026194
 0.032752 0.032897 0.029197 0.016449]"
database_normalized\AircraftBuoyant\m1352.obj,AircraftBuoyant,m1352.obj,"[9.30900e-03 3.37780e-02 5.53120e-02 7.60770e-02 1.00986e-01 1.26004e-01
 1.33698e-01 1.01415e-01 8.08250e-02 6.80400e-02 5.39350e-02 4.65980e-02
 3.65380e-02 2.78810e-02 2.03640e-02 1.24490e-02 8.53700e-03 5.75200e-03
 2.42600e-03 7.60000e-05]"
database_normalized\Apartment\D00045.obj,Apartment,D00045.obj,"[1.33860e-02 3.51570e-02 5.51150e-02 7.10530e-02 8.45930e-02 8.46340e-02
 8.53960e-02 1.08982e-01 9.39460e-02 8.17460e-02 1.27508e-01 1.07921e-01
 4.12390e-02 7.61200e-03 8.32000e-04 2.55000e-04 2.70000e-04 2.09000e-04
 1.22000e-04 2.40000e-05]"
database_normalized\Apartment\D00086.obj,Apartment,D00086.obj,"[0.019011 0.048354 0.073332 0.085549 0.084689 0.077084 0.068569 0.066056
 0.0679   0.070627 0.068644 0.060782 0.05661  0.051575 0.041888 0.029163
 0.018095 0.009076 0.00269  0.000306]"
database_normalized\Apartment\D00138.obj,Apartment,D00138.obj,"[1.40779e-01 1.76121e-01 1.11568e-01 2.38226e-01 1.33405e-01 4.92150e-02
 2.98530e-02 2.15500e-02 2.35880e-02 2.33510e-02 1.94690e-02 1.49340e-02
 8.37500e-03 5.64400e-03 1.54500e-03 1.36500e-03 4.67000e-04 2.43000e-04
 1.23000e-04 1.79000e-04]"
database_normalized\Apartment\D00156.obj,Apartment,D00156.obj,"[8.8380e-03 1.6591e-02 4.0748e-02 5.5684e-02 6.3191e-02 7.2361e-02
 7.7984e-02 8.5162e-02 7.7039e-02 9.9652e-02 9.8213e-02 8.6459e-02
 7.9449e-02 5.5996e-02 3.9993e-02 2.6785e-02 1.2236e-02 3.2000e-03
 3.9100e-04 2.8000e-05]"
database_normalized\Apartment\D00310.obj,Apartment,D00310.obj,"[0.009644 0.030187 0.048498 0.063656 0.078178 0.093288 0.112839 0.107698
 0.085899 0.074375 0.061013 0.052515 0.048728 0.035007 0.027697 0.028578
 0.024392 0.013865 0.003645 0.000298]"
database_normalized\Apartment\D00348.obj,Apartment,D00348.obj,"[0.018933 0.044513 0.065603 0.084406 0.090559 0.101729 0.103184 0.111897
 0.092999 0.075123 0.053994 0.042017 0.039626 0.030968 0.02012  0.015199
 0.006843 0.001676 0.000457 0.000154]"
