file_path,file_class,file_name,eccentricity
database_normalized\AircraftBuoyant\m1337.obj,AircraftBuoyant,m1337.obj,1.3372369437135039
database_normalized\AircraftBuoyant\m1338.obj,AircraftBuoyant,m1338.obj,1.024155428535933
database_normalized\AircraftBuoyant\m1339.obj,AircraftBuoyant,m1339.obj,5.442102765847893
database_normalized\AircraftBuoyant\m1340.obj,AircraftBuoyant,m1340.obj,13.075918568406122
database_normalized\AircraftBuoyant\m1341.obj,AircraftBuoyant,m1341.obj,11.141347411846507
database_normalized\AircraftBuoyant\m1342.obj,AircraftBuoyant,m1342.obj,5.938800994179995
database_normalized\AircraftBuoyant\m1343.obj,AircraftBuoyant,m1343.obj,1.6077053790330942
database_normalized\AircraftBuoyant\m1344.obj,AircraftBuoyant,m1344.obj,5.505744853615203
database_normalized\AircraftBuoyant\m1345.obj,AircraftBuoyant,m1345.obj,4.229377268737297
database_normalized\AircraftBuoyant\m1346.obj,AircraftBuoyant,m1346.obj,12.711109683396542
database_normalized\AircraftBuoyant\m1347.obj,AircraftBuoyant,m1347.obj,12.388792443632
database_normalized\AircraftBuoyant\m1348.obj,AircraftBuoyant,m1348.obj,12.349359916606774
database_normalized\AircraftBuoyant\m1349.obj,AircraftBuoyant,m1349.obj,13.713109774572208
database_normalized\AircraftBuoyant\m1350.obj,AircraftBuoyant,m1350.obj,10.92613133349902
database_normalized\AircraftBuoyant\m1351.obj,AircraftBuoyant,m1351.obj,28.0271673017311
database_normalized\AircraftBuoyant\m1352.obj,AircraftBuoyant,m1352.obj,7.7844066362873985
database_normalized\Apartment\D00045.obj,Apartment,D00045.obj,3.8145261081107655
database_normalized\Apartment\D00086.obj,Apartment,D00086.obj,12.782714950082172
database_normalized\Apartment\D00138.obj,Apartment,D00138.obj,5.359874562469772
database_normalized\Apartment\D00156.obj,Apartment,D00156.obj,5.595078434910925
database_normalized\Apartment\D00310.obj,Apartment,D00310.obj,11.011555215923066
database_normalized\Apartment\D00348.obj,Apartment,D00348.obj,47.89654769534675
database_normalized\Apartment\D00366.obj,Apartment,D00366.obj,3.1022970416737596
database_normalized\Apartment\D00478.obj,Apartment,D00478.obj,4.805834029201535
database_normalized\Apartment\D00496.obj,Apartment,D00496.obj,2.9997408549535134
database_normalized\Apartment\D00626.obj,Apartment,D00626.obj,6.459697673738896
database_normalized\Apartment\D00639.obj,Apartment,D00639.obj,3.1392356510289474
database_normalized\Apartment\D00651.obj,Apartment,D00651.obj,5.626680202178019
database_normalized\Apartment\D00681.obj,Apartment,D00681.obj,7.325533488292488
database_normalized\Apartment\D00780.obj,Apartment,D00780.obj,22.898225047237062
database_normalized\Apartment\D00792.obj,Apartment,D00792.obj,1.7172548140880473
database_normalized\Apartment\D00859.obj,Apartment,D00859.obj,11.49706733274634
database_normalized\Apartment\D00860.obj,Apartment,D00860.obj,4.82961273707645
